,text,token_list,Hashtag,Mentions
26,"Com a descentralização, são 3 coelhos numa cajadada só: seca mais uma fonte de corrupção, fruto da relação promíscua entre as esferas Federal, Estadual e Municipal que o atual modelo causa; efetividade no combate aos problemas de cada região; governabilidade sem o toma lá, dá cá.","['descentralização', '3', 'coelhos', 'cajadada', 'seca', 'fonte', 'corrupção', 'fruto', 'promíscua', 'esferas', 'federal', 'estadual', 'municipal', 'atual', 'modelo', 'causa', 'efetividade', 'combate', 'problemas', 'região', 'governabilidade', 'toma']",[],[]
27,"Ninguém conhece melhor os problemas de uma cidade do que aqueles que nela vivem, por isso é necessário descentralizar o poder que hoje se concentra em Brasília, de modo que governos e prefeituras tenham mais autonomia sob os recursos destinados.","['ninguém', 'conhece', 'melhor', 'problemas', 'cidade', 'nela', 'vivem', 'necessário', 'descentralizar', 'hoje', 'concentra', 'brasília', 'modo', 'governos', 'prefeituras', 'autonomia', 'recursos', 'destinados']",[],[]
28,"Fizemos hoje (11/03/2018), com @FlavioBolsonaro ,uma transmissão ao vivo com alguns temas desta semana: O Sistema não admite Bolsonaro. Assista: https://t.co/znxmc1PHN8","['fizemos', 'hoje', '11/03', '2018', 'transmissão', 'vivo', 'temas', 'semana', 'admite', 'bolsonaro', 'assista']",[],['flaviobolsonaro']
29,"Passagem, à noite, por Monte Sião/MG. https://t.co/8APZITg7rC","['passagem', 'noite', 'monte', 'sião', 'mg']",[],[]
30,Campinas-SP e Pouso Alegre-MG. (08/03/2018)🇧🇷 https://t.co/tk6kWtwP6t,"['campinas-sp', 'pouso', 'alegre-mg', '08/03', '2018']",[],[]
31,Um forte abraço a todas as Mulheres de todo o Brasil! https://t.co/XP9uf33PkB,"['forte', 'abraço', 'mulheres', 'brasil']",[],[]
32,Chegada agora em Campinas/SP destino MG. https://t.co/CpUcxuS7UX,"['chegada', 'campinas', 'sp', 'destino', 'mg']",[],[]
33,Chegada ao gabinete em Brasília: https://t.co/97vHIPI1xi,"['chegada', 'gabinete', 'brasília']",[],[]
34,"RT @augustosnunes: A UnB agora forma bestas quadradas em História e Português
https://t.co/R0aHwHp0GO","['rt', 'unb', 'bestas', 'quadradas', 'história', 'português']",[],['augustosnunes']
35,"Constatamos em nossa viagem à Asia a importância que eles dão à Ciência e Tecnologia. Com a palavra o Astronauta Marcos Pontes ,Tenente-Coronel da Aeronáutica. https://t.co/on2DzaZNab","['constatamos', 'viagem', 'asia', 'importância', 'ciência', 'tecnologia', 'palavra', 'astronauta', 'marcos', 'pontes', 'tenente-coronel', 'aeronáutica']",[],[]
36,General Heleno e a candidatura Jair Bolsonaro. https://t.co/hr3oMw8Neh,"['general', 'heleno', 'candidatura', 'jair', 'bolsonaro']",[],[]
37,Pesquisa Eleições Presidenciais 2018. https://t.co/ePzaY96Rvr,"['pesquisa', 'eleições', 'presidenciais', '2018']",[],[]
38,"Temos buscado nomes qualificados para compor nosso time, que será bem menor, antes de qualquer resultado. Na prática, é a garantia de uma equipe comprometida com os interesses da nação e não com partidos políticos, que é o que tem mantido o Brasil na lama nos últimos governos.","['buscado', 'nomes', 'qualificados', 'compor', 'time', 'resultado', 'prática', 'garantia', 'equipe', 'comprometida', 'interesses', 'nação', 'partidos', 'políticos', 'mantido', 'brasil', 'lama', 'últimos', 'governos']",[],[]
39,"Privatizações são bem vindas, mas vou além: algumas de nossas estatais precisam ser extintas!","['privatizações', 'vindas', 'vou', 'estatais', 'precisam', 'extintas']",[],[]
40,"Nossa passagem por Israel, Estados Unidos, Japão, Coreia do Sul e Taiwan tem deixado cada vez mais claro o norte que queremos para o nosso Brasil, algo bem diferente do que foram os governos anteriores, simpáticos a regimes comunistas, fiéis e adestrados pelo Foro de São Paulo.","['passagem', 'israel', 'estados', 'unidos', 'japão', 'coreia', 'sul', 'taiwan', 'deixado', 'claro', 'norte', 'queremos', 'brasil', 'diferente', 'governos', 'anteriores', 'simpáticos', 'regimes', 'comunistas', 'fiéis', 'adestrados', 'foro', 'paulo']",[],[]
41,Obrigado Salvador! Um grande abraço Bahia. https://t.co/D5L4weYX74,"['salvador', 'abraço', 'bahia']",[],[]
42,Padre Sizo de Mata Grande/AL fala de Jair Bolsonaro e política nacional. https://t.co/aio9hdPQhf,"['padre', 'sizo', 'mata', 'al', 'fala', 'jair', 'bolsonaro', 'política', 'nacional']",[],[]
43,Pequeno resumo sobre nossa passagem por Taiwan. Um abraço a todos! https://t.co/jBsorJBVo0,"['pequeno', 'resumo', 'passagem', 'taiwan', 'abraço']",[],[]
44,Conexão Dubai. Obrigado!!!! https://t.co/pR7fWRIpce,"['conexão', 'dubai']",[],[]
45,"Antes de partirmos, uma agradável reunião agora com Brasileiros em Taiwan: https://t.co/VABsSZCACC","['partirmos', 'agradável', 'reunião', 'brasileiros', 'taiwan']",[],[]
46,"RT @RenovaMidia: O deputado federal, Jair Bolsonaro, processou criminalmente Ciro Gomes por calúnia e injúria após declarações durante entr…","['rt', 'deputado', 'federal', 'jair', 'bolsonaro', 'processou', 'criminalmente', 'ciro', 'gomes', 'calúnia', 'injúria', 'declarações', 'durante', 'entr']",[],['renovamidia']
47,"O dia em Taiwan - motores da prosperidade, tecnologia, inovação e educação! https://t.co/nj3Ag3E0G2","['dia', 'taiwan', 'motores', 'prosperidade', 'tecnologia', 'inovação', 'educação']",[],[]
48,O estrago que a esquerda fez  na Educação. https://t.co/chnalMlH5F,"['estrago', 'esquerda', 'educação']",[],[]
49,"RT @FlavioBolsonaro: Cada um deve ser feliz como bem entender, ninguém tem nada a ver com isso. Mas deixem nossas crianças em paz!
Não à id…","['rt', 'feliz', 'entender', 'ninguém', 'deixem', 'crianças', 'paz', 'id']",[],['flaviobolsonaro']
50,"Passagem na Coréia do Sul: pesquisas, desenvolvimento, compromisso e seriedade. Temos tudo para somar com grandes nações que não somente com o viés ideológico habitual. Rumar contra a direção do Foro de SP, que nos amarra e impede de termos a dimensão que realmente merecemos! https://t.co/2sDmYhKwQm","['passagem', 'coréia', 'sul', 'pesquisas', 'desenvolvimento', 'compromisso', 'seriedade', 'somar', 'nações', 'viés', 'ideológico', 'habitual', 'rumar', 'direção', 'foro', 'sp', 'amarra', 'impede', 'termos', 'dimensão', 'realmente', 'merecemos']",[],[]
51,"RT @BolsonaroSP: 🇰🇷PASSAGEM PELA COREIA DO SUL 🇰🇷

Algumas de nossas atividades na Coreia ao som da música local Arirang. Mais um surpreend…","['rt', 'passagem', 'coreia', 'sul', 'atividades', 'coreia', 'som', 'música', 'arirang', 'surpreend']",[],['bolsonarosp']
52,O até breve do General Mourão (editado). https://t.co/plf9Ll02o2,"['general', 'mourão', 'editado']",[],[]
53,"Na Zona Desmilitarizada da Coreia - um dos lugares de maior tensão no mundo - em visita à Casa da Liberdade, local criado para sediar reuniões relacionadas às Coreias do Sul e do Norte. Ao fundo, um soldado norte coreano observa. https://t.co/3RvWHahMGo","['zona', 'desmilitarizada', 'coreia', 'lugares', 'tensão', 'mundo', 'visita', 'casa', 'liberdade', 'criado', 'sediar', 'reuniões', 'relacionadas', 'coreias', 'sul', 'norte', 'fundo', 'soldado', 'norte', 'coreano', 'observa']",[],[]
54,Senador Magno Malta recomenda FHC comprar um pijama após criticar Bolsonaro. https://t.co/3TjDGrHZv3,"['senador', 'magno', 'malta', 'recomenda', 'fhc', 'comprar', 'pijama', 'criticar', 'bolsonaro']",[],[]
55,"Um dos principais focos da violência é a corrupção. Criar ministério, longe de combatê-la, recrudesce.","['principais', 'focos', 'violência', 'corrupção', 'criar', 'ministério', 'combatê-la', 'recrudesce']",[],[]
56,- PESQUISA ELEIÇÕES PRESIDENCIAIS 2018. https://t.co/mb5hLLNxYM,"['pesquisa', 'eleições', 'presidenciais', '2018']",[],[]
57,"RT @BolsonaroSP: AMPLIANDO CONHECIMENTOS E ESTREITANDO RELAÇÕES

1-Fronteira da Coréia do Sul com a do Norte
2-Almoço c/Comitê Parlamentar…","['rt', 'ampliando', 'conhecimentos', 'estreitando', 'relações', '1', 'fronteira', 'coréia', 'sul', 'norte', '2', 'almoço', 'c', 'comitê', 'parlamentar']",[],['bolsonarosp']
58,Eis o que digo: https://t.co/Fo6iJticGD,"['eis', 'digo']",[],[]
59,"Coréia do Sul lidera mundialmente o investimento em pesquisas e desenvolvimento de projetos (startups), enquanto que os mesmos setores no Brasil em simpósios de como fazer sexo anal sem sentir dor. Se depender de mim, a prioridade e seriedade terão outro direcionamento em breve. https://t.co/8AklKqaNIA","['coréia', 'sul', 'lidera', 'mundialmente', 'investimento', 'pesquisas', 'desenvolvimento', 'projetos', 'startups', 'mesmos', 'setores', 'brasil', 'simpósios', 'sexo', 'anal', 'sentir', 'dor', 'depender', 'mim', 'prioridade', 'seriedade', 'outro', 'direcionamento']",[],[]
60,"- Coréia do Sul x Coréia do Norte.
- um só povo, duas ideologias.
- com @BolsonaroSP @FlavioBolsonaro  e @CarlosBolsonaro https://t.co/zZASSxDSaH","['coréia', 'sul', 'x', 'coréia', 'norte', 'ideologias']",[],"['bolsonarosp', 'flaviobolsonaro', 'carlosbolsonaro']"
