,text,token_list,Hashtag,Mentions
388,"Ação de limpeza de praia organizada pelo time do #DespertaJá em Tramandaí, no RS. 
O Desperta Já é o mutirão de voluntários do @partidonovo30 para fazer ações de conscientização pelo Brasil. 
Ser NOVO é fazer parte da mudança! https://t.co/L50FURaAQu","['ação', 'limpeza', 'praia', 'organizada', 'time', 'tramandaí', 'rs', 'desperta', 'mutirão', 'voluntários', 'ações', 'conscientização', 'brasil', 'mudança']",['despertajá'],['partidonovo30']
389,"@flavix Como sempre estamos sendo coerentes. Só mudaremos o cenário com representantes eleitos. Defendemos o estado de direito. Um post é o fim, o outro, os meios.","['sendo', 'coerentes', 'mudaremos', 'cenário', 'representantes', 'eleitos', 'defendemos', 'direito', 'post', 'outro', 'meios']",[],['flavix']
390,"Lançamento do Núcleo do NOVO no Pará agora. 
É a onda laranja pelo Brasil.
#DespertaJá #SejaNOVO https://t.co/LdwqrRQPVd","['lançamento', 'núcleo', 'pará', 'onda', 'laranja', 'brasil']","['despertajá', 'sejanovo']",[]
391,"Capa da IstoÉ Dinheiro dessa semana. Feliz em ver nossas ideias sendo cada vez mais divulgadas pelo  Brasil! 
Divulgue para que ainda mais pessoas conheçam!
#SejaNOVO #DespertaJá https://t.co/4CW79WX9Ru","['capa', 'istoé', 'dinheiro', 'semana', 'feliz', 'ideias', 'sendo', 'divulgadas', 'brasil', 'divulgue', 'pessoas', 'conheçam']","['sejanovo', 'despertajá']",[]
392,"""(Amoêdo) é quem tem as posições mais claras e as propostas mais conhecidas até o momento. Ele e o NOVO defendem a posição de diminuir o peso do Estado, a privatização e o fim das burocracias que emperram o desenvolvimento do País.""
https://t.co/ByQkb3LOrH","['amoêdo', 'posições', 'claras', 'propostas', 'conhecidas', 'defendem', 'diminuir', 'peso', 'privatização', 'burocracias', 'emperram', 'desenvolvimento', 'país']",[],[]
393,Muito legal receber esse tipo de mensagem. #SejaNOVO https://t.co/t4KKoPYWiA,"['legal', 'receber', 'mensagem']",['sejanovo'],[]
394,"@alvaromsantos1 Álvaro, o @partidonovo30 é o único partido que não usa dinheiro do fundo partidário e os 4 vereadores eleitos reduziram o número de assessores e as verbas de gabinete, dando exemplo de economia e gestão.","['álvaro', 'único', 'partido', 'dinheiro', 'fundo', 'partidário', '4', 'vereadores', 'eleitos', 'reduziram', 'assessores', 'verbas', 'gabinete', 'dando', 'economia', 'gestão']",[],"['alvaromsantos1', 'partidonovo30']"
395,"As mudanças só vão acontecer se a gente se envolver. Temos que pesquisar os candidatos, votar com consciência, demandar transparência, acompanhar as votações, cobrar dos candidatos e nos candidatar. 
O NOVO lançará 350 candidatos ao Congresso para fazer uma renovação em 2018. https://t.co/hIF0CjmiaI","['mudanças', 'acontecer', 'gente', 'envolver', 'pesquisar', 'candidatos', 'votar', 'consciência', 'demandar', 'transparência', 'acompanhar', 'votações', 'cobrar', 'candidatos', 'candidatar', 'lançará', '350', 'candidatos', 'congresso', 'renovação', '2018']",[],[]
396,"Como vamos reduzir o peso do Governo?
- Reduzindo mordomias para políticos
- Reduzindo os cargos comissionados, e o nº de deputados, senadores e vereadores
- Definindo prioridades
- Privatizando
- Com a participação da população
- Reduzindo impostos
- Aumentando a produtividade","['vamos', 'reduzir', 'peso', 'governo', 'reduzindo', 'mordomias', 'políticos', 'reduzindo', 'cargos', 'comissionados', 'nº', 'deputados', 'senadores', 'vereadores', 'definindo', 'prioridades', 'privatizando', 'participação', 'população', 'reduzindo', 'impostos', 'aumentando', 'produtividade']",[],[]
397,"Enquanto for tão difícil contratar e empreender, vamos continuar com esses péssimos índices.
Brasil fechou 2017 com 38,3 milhões de empregos formais.Esse é o número mais baixo desde o final de 2011. O brasileiro precisa de menos burocracia e mais liberdade
https://t.co/XRMczkfNXT","['difícil', 'contratar', 'empreender', 'vamos', 'continuar', 'péssimos', 'índices', 'brasil', 'fechou', '2017', '38,3', 'milhões', 'empregos', 'formais.esse', '2011', 'brasileiro', 'precisa', 'burocracia', 'liberdade']",[],[]
